x,y,red,green,blue,hexvalue,h,s,v,luminance,hue_group,shade,name
3,3,0.807843137254902,0.5764705882352941,0.8470588235294118,#CE93D8,291.304347826087,0.3194444444444444,0.8470588235294118,0.6756470588235294,purple,200,purple-200
3,4,0.7294117647058823,0.40784313725490196,0.7843137254901961,#BA68C8,291.25,0.48,0.7843137254901961,0.5457254901960784,purple,300,purple-300
3,5,0.6705882352941176,0.2784313725490196,0.7372549019607844,#AB47BC,291.28205128205127,0.6223404255319149,0.7372549019607844,0.4465490196078431,purple,400,purple-400
3,6,0.611764705882353,0.15294117647058825,0.6901960784313725,#9C27B0,291.24087591240874,0.7784090909090909,0.6901960784313725,0.34968627450980394,purple,500,purple-500
3,7,0.5568627450980392,0.1411764705882353,0.6666666666666666,#8E24AA,287.46268656716416,0.788235294117647,0.6666666666666666,0.3236862745098039,purple,600,purple-600
3,8,0.4823529411764706,0.12156862745098039,0.6352941176470588,#7B1FA2,282.13740458015263,0.808641975308642,0.6352941176470588,0.28631372549019607,purple,700,purple-700
3,9,0.41568627450980394,0.10588235294117647,0.6039215686274509,#6A1B9A,277.3228346456693,0.8246753246753247,0.6039215686274509,0.2536078431372549,purple,800,purple-800
3,10,0.2901960784313726,0.0784313725490196,0.5490196078431373,#4A148C,267,0.8571428571428571,0.5490196078431373,0.19372549019607843,purple,900,purple-900
4,1,0.9294117647058824,0.9058823529411765,0.9647058823529412,#EDE7F6,264,0.06097560975609756,0.9647058823529412,0.9194117647058824,deep purple,50,deep purple-50
4,2,0.8196078431372549,0.7686274509803922,0.9137254901960784,#D1C4E9,261.0810810810811,0.15879828326180256,0.9137254901960784,0.7998823529411765,deep purple,100,deep purple-100
4,3,0.7019607843137254,0.615686274509804,0.8588235294117647,#B39DDB,261.2903225806451,0.2831050228310502,0.8588235294117647,0.6683137254901961,deep purple,200,deep purple-200
4,4,0.5843137254901961,0.4588235294117647,0.803921568627451,#9575CD,261.8181818181818,0.4292682926829268,0.803921568627451,0.5344313725490195,deep purple,300,deep purple-300
4,5,0.49411764705882355,0.3411764705882353,0.7607843137254902,#7E57C2,261.8691588785047,0.5515463917525774,0.7607843137254902,0.4332156862745098,deep purple,400,deep purple-400
4,6,0.403921568627451,0.22745098039215686,0.7176470588235294,#673AB7,261.6,0.6830601092896175,0.7176470588235294,0.33431372549019606,deep purple,500,deep purple-500
4,7,0.3686274509803922,0.20784313725490197,0.6941176470588235,#5E35B1,259.8387096774194,0.7005649717514124,0.6941176470588235,0.3095686274509804,deep purple,600,deep purple-600
4,8,0.3176470588235294,0.17647058823529413,0.6588235294117647,#512DA8,257.5609756097561,0.7321428571428571,0.6588235294117647,0.27188235294117646,deep purple,700,deep purple-700
4,9,0.27058823529411763,0.15294117647058825,0.6274509803921569,#4527A0,254.8760330578512,0.75625,0.6274509803921569,0.24043137254901958,deep purple,800,deep purple-800
4,10,0.19215686274509805,0.10588235294117647,0.5725490196078431,#311B92,251.09243697478993,0.815068493150685,0.5725490196078431,0.18309803921568626,deep purple,900,deep purple-900
5,1,0.9098039215686274,0.9176470588235294,0.9647058823529412,#E8EAF6,231.42857142857144,0.056910569105691054,0.9647058823529412,0.920470588235294,indigo,50,indigo-50
5,2,0.7725490196078432,0.792156862745098,0.9137254901960784,#C5CAE9,231.66666666666666,0.15450643776824036,0.9137254901960784,0.7996470588235294,indigo,100,indigo-100
5,3,0.6235294117647059,0.6588235294117647,0.8549019607843137,#9FA8DA,230.84745762711864,0.2706422018348624,0.8549019607843137,0.6698039215686273,indigo,200,indigo-200
5,4,0.4745098039215686,0.5254901960784314,0.796078431372549,#7986CB,230.48780487804876,0.4039408866995074,0.796078431372549,0.5399607843137255,indigo,300,indigo-300
5,5,0.3607843137254902,0.4196078431372549,0.7529411764705882,#5C6BC0,231,0.5208333333333334,0.7529411764705882,0.43862745098039213,indigo,400,indigo-400
5,6,0.24705882352941178,0.3176470588235294,0.7098039215686275,#3F51B5,230.84745762711864,0.6519337016574586,0.7098039215686275,0.3396078431372549,indigo,500,indigo-500
5,7,0.2235294117647059,0.28627450980392155,0.6705882352941176,#3949AB,231.57894736842104,0.6666666666666666,0.6705882352941176,0.3097254901960784,indigo,600,indigo-600
5,8,0.18823529411764706,0.24705882352941178,0.6235294117647059,#303F9F,231.8918918918919,0.6981132075471698,0.6235294117647059,0.2708235294117647,indigo,700,indigo-700
5,9,0.1568627450980392,0.20784313725490197,0.5764705882352941,#283593,232.71028037383178,0.7278911564625851,0.5764705882352941,0.23309803921568628,indigo,800,indigo-800
5,10,0.10196078431372549,0.13725490196078433,0.49411764705882355,#1A237E,234.60000000000002,0.7936507936507936,0.49411764705882355,0.165921568627451,indigo,900,indigo-900
6,1,0.8901960784313725,0.9490196078431372,0.9921568627450981,#E3F2FD,205.38461538461542,0.10276679841897234,0.9921568627450981,0.9361176470588234,blue,50,blue-50
6,2,0.7333333333333333,0.8705882352941177,0.984313725490196,#BBDEFB,207.1875,0.2549800796812749,0.984313725490196,0.8419215686274508,blue,100,blue-100
6,3,0.5647058823529412,0.792156862745098,0.9764705882352941,#90CAF9,206.85714285714286,0.42168674698795183,0.9764705882352941,0.7441960784313725,blue,200,blue-200
6,4,0.39215686274509803,0.7098039215686275,0.9647058823529412,#64B5F6,206.71232876712327,0.5934959349593496,0.9647058823529412,0.6425490196078432,blue,300,blue-300
6,5,0.25882352941176473,0.6470588235294118,0.9607843137254902,#42A5F5,206.81564245810057,0.7306122448979592,0.9607843137254902,0.5650980392156862,blue,400,blue-400
6,6,0.12941176470588237,0.5882352941176471,0.9529411764705882,#2196F3,206.57142857142858,0.8641975308641975,0.9529411764705882,0.49070588235294116,blue,500,blue-500
6,7,0.11764705882352941,0.5333333333333333,0.8980392156862745,#1E88E5,208.04020100502512,0.868995633187773,0.8980392156862745,0.44874509803921564,blue,600,blue-600
6,8,0.09803921568627451,0.4627450980392157,0.8235294117647058,#1976D2,209.83783783783787,0.8809523809523809,0.8235294117647058,0.3930196078431373,blue,700,blue-700
6,9,0.08235294117647059,0.396078431372549,0.7529411764705882,#1565C0,211.9298245614035,0.890625,0.7529411764705882,0.34121568627450977,blue,800,blue-800
6,10,0.050980392156862744,0.2784313725490196,0.6313725490196078,#0D47A1,216.48648648648648,0.9192546583850931,0.6313725490196078,0.24901960784313723,blue,900,blue-900
7,1,0.8823529411764706,0.9607843137254902,0.996078431372549,#E1F5FE,198.6206896551724,0.1141732283464567,0.996078431372549,0.9411372549019608,light blue,50,light blue-50
7,2,0.7019607843137254,0.8980392156862745,0.9882352941176471,#B3E5FC,198.9041095890411,0.2896825396825397,0.9882352941176471,0.8491372549019608,light blue,100,light blue-100
